Marca temporal;PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
10/6/2020 14:06:17;Agronomía, Mención Mecanización Agrícola;8;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:07:56;Desarrollo Local;9;7;9;7;1;5;9;5;1;2;5;5;9;9;8;6;7;6;6;5;5;5;1;2;5;5;5;1;3;2;1;4;3;1;1;2;3;4;1;1;3;1;1;5;1;3;5;2;5;3;5;5;6;6
10/6/2020 14:08:44;Agronomía, Mención Mecanización Agrícola;9;9;9;9;9;9;6;9;9;8;8;6;9;8;8;9;9;8;7;8;8;9;8;8;9;9;8;9;8;8;9;8;9;9;8;9;8;9;8;8;8;8;8;9;9;9;9;9;9;7;8;9;9;9
10/6/2020 14:10:06;Desarrollo Local;9;9;9;9;6;8;9;8;8;8;7;8;9;9;9;9;9;9;9;8;8;8;8;8;9;8;9;8;9;8;8;8;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:11:17;Agronomía, Mención Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:16:25;Pedagogía, Mención Bachillerato Técnico;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10/6/2020 14:19:10;Hidráulica, Mención Gestión de Recursos Hídricos;9;9;9;9;9;9;7;9;9;9;9;7;9;9;9;9;9;8;8;9;9;8;8;8;8;8;7;7;5;9;5;9;9;5;8;7;7;8;8;7;9;9;7;9;9;9;9;9;9;7;9;9;9;8
10/6/2020 14:19:56;Desarrollo Local;8;8;8;8;8;9;9;9;7;8;8;9;9;9;9;9;9;9;9;9;8;8;8;8;9;9;9;6;5;1;3;8;9;8;8;8;9;8;9;9;9;9;1;9;8;8;8;8;8;8;9;8;9;9
10/6/2020 14:22:10;Desarrollo Local;9;9;6;6;9;9;9;9;9;9;9;9;9;9;9;9;9;7;7;8;9;6;7;7;7;8;8;6;6;7;6;8;9;7;7;9;7;7;9;9;8;9;7;8;6;9;9;7;8;8;9;8;9;9
10/6/2020 14:22:14;Matemática;8;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;7;9;5;9;9;9;9;9;9;8;9;9;9;5;9;9;9;9;9;9;9;9;2;8;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:24:44;Matemática;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:31:03;Bibliotecología, Mención Gestión de la Información;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;6;9;9;9;9;9;9
10/6/2020 14:32:08;Matemática;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;5;1;3;9;9;9;9;9;9;9;9;5;9;9;1;9;9;8;9;2;8;9;9;9;9;9
10/6/2020 14:33:58;Bibliotecología, Mención Gestión de la Información;9;7;8;7;9;8;7;8;9;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;6;7;7;5;7;8;7;7;8;5;6;7;8;8;5;5;6;6;7;7;7;7;7;7;7;7;8;8;8;8
10/6/2020 14:36:56;Matemática;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;1;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 14:37:10;Bibliotecología, Mención Gestión de la Información;7;6;8;9;9;6;7;9;9;9;9;7;9;9;9;9;8;9;9;9;9;9;8;9;5;8;7;1;9;2;6;9;9;9;9;9;9;9;9;7;6;9;6;9;9;1;5;6;5;5;9;9;9;7
