Programa;Variable_Adminicion;Variable_profesorado;Variable_formacion;Variable_infraestructura;Variable_economia;Variable_Logistica;Profesionalidad;Personal_directivo;Valoracion_integral
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;8;8;8;9;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;7;8,5;8;8;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;8;8;7;8;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;8;8;8;6;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;9;8;7,5;8;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;8;8;8;8;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;9;9;8;8;9;9;9;9
Ingenieria Agricola;8;8;8;8;8;8;8;8;8
Desarrollo Local;8;8;8;7;8;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;9;9;8,5;8;8;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;7;8;7;7,5;7;7;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;8;8;8;8;8
Matematica;9;9;9;9;9;9;9;9;9
Matematica;8;7;8;7;7;7;8;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;8;9;8;8;8;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;8;7;8;6;7,5;7;8;9;7
Administracion de Empresas;9;9;9;9;8,5;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;8;5;9;7;7;7;7
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;8;9;7;8;8;9;9;8
Matematica;8;7;8;8;8;8;7;7;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;7;7;5;7;7;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;8;8;8;8;8
Agronomia, Mencion Agricultura Sostenible;8;8;8;6;7,5;7;8;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;8;8;9;8;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;8;8;8;8;8;8;8
